Town,Funeral Home,Main URL,Notes
Clinton,Swan Funeral Home (Dignity Memorial),https://www.dignitymemorial.com/obituaries?locationcode=2632,
Clinton,"Swan Funeral Home (Madison, Dignity Memorial)",https://www.dignitymemorial.com/obituaries/madison-ct,"Neighboring-town source; different location than Clinton's own Swan listing. Confirmed one Clinton match (Marlene Kistenberg) 2026-09-07, see skills/death-notices.md"
Clinton,"Robinson Wright & Weymer Funeral Home (Centerbrook/Essex, Dignity Memorial)",https://www.dignitymemorial.com/obituaries?locationcode=3477,"Neighboring-town (Killingworth) source; checked 2026-09-07, no Clinton matches found in the visible batch, see skills/death-notices.md"
Clinton,Biega Funeral Home (Middletown),https://www.biegafuneralhome.com/obituaries/,"Neighboring-town (Killingworth) source; checked 2026-09-07, no Clinton matches found; in-site search doesn't reliably filter by town, see skills/death-notices.md"
Madison,Swan Funeral Home (Dignity Memorial),https://www.dignitymemorial.com/obituaries/madison-ct,"Different physical location/locationcode than Clinton's Swan Funeral Home, see skills/death-notices.md"
East Lyme,Thomas L. Neilan & Sons,https://www.neilanfuneralhome.com/obituaries/obituary-listings,
East Lyme,"Fulton-Theroux Funeral Service (Old Lyme, Dignity Memorial)",https://www.dignitymemorial.com/obituaries/niantic-ct,"Niantic is the village within East Lyme; keep only entries explicitly stated as East Lyme (the ambiguous 'Niantic' tag alone also covers Waterford), see skills/death-notices.md"
Lyme,Thomas L. Neilan & Sons,https://www.neilanfuneralhome.com/obituaries/obituary-listings,No Funeral Home in Town
Lyme,"Fulton-Theroux Funeral Service (Old Lyme, Dignity Memorial) ",https://www.dignitymemorial.com/obituaries?locationcode=2694,No Funeral Home in Town
Lyme,"Robinson Wright & Weymer Funeral Home (Centerbrook/Essex, Dignity Memorial)",https://www.dignitymemorial.com/obituaries?locationcode=3477,"Neighboring-town (East Haddam) source; confirmed one current Lyme match found 2026-09-08 (Catherine Jeanne Spencer), see skills/death-notices.md"
New Milford,Hull Funeral Service / Colonial Funeral Home,https://www.hullfuneralservice.com/listings,
New Milford,Lillis Funeral Home ,https://lillisfuneralhome.wordpress.com/obituaries/,
New Milford,Brookfield Funeral Home (Cornell Memorial),https://www.cornellmemorial.com/obituaries/obituary-listings,"Neighboring-town source; confirmed one current match found 2026-09-08 (Ellen L. Thompson) via WebSearch/Legacy.com syndication -- the site's own listing page renders an empty shell via browser (Tribute Technology platform), see skills/death-notices.md"
Old Lyme,"Fulton-Theroux Funeral Service (Old Lyme, Dignity Memorial) ",https://www.dignitymemorial.com/obituaries?locationcode=2694,
Old Lyme,Thomas L. Neilan & Sons (East Lyme Funeral Home branch),https://www.neilanfuneralhome.com/obituaries/obituary-listings,"Confirmed two Old Lyme matches previously (Thomas Sessa, John 'Ron' Hamilton Jr.) but was never added to this row until 2026-09-08, see skills/death-notices.md"
Orange,Cody-White Funeral Home,https://www.codywhitefuneralservice.com/obituaries,No Funeral Home in Town
Orange,West Haven Funeral Home,https://www.westhavenfuneral.com/listings,"No Funeral Home in Town; Cloudflare-blocked for curl/WebFetch but renders via browser (confirmed 2026-09-07); its Word search doesn't filter and the visible listing is nearly all West Haven residents, see skills/death-notices.md"
Orange,Maresca & Sons Funeral Home (New Haven),https://www.marescafuneralhome.com/listings,"No Funeral Home in Town; in-site Word search genuinely filters by town; one confirmed current Orange match found 2026-09-08 (Rosemary Prete), see skills/death-notices.md"
Ridgefield,Jowdy Kane Funeral Home,https://www.jowdykanefuneralhome.com/listings,"Operates a dedicated Ridgefield branch (\"Kane Funeral Home,\" 25 Catoonah St., Ridgefield -- distinct from the Danbury location) under the same jowdykanefuneralhome.com site; confirmed productive for Ridgefield 2026-09-08, see skills/death-notices.md"
Bethany,Beecher & Bennett Funeral Service (Hamden),https://www.beecherandbennett.com/obituaries,No Funeral Home in Town
Bethany,Prospect Memorial Funeral & Cremation Services (Prospect),https://www.prospectmemorialfh.com/listings,No Funeral Home in Town
Bethany,Wakelee Memorial Funeral Home (Ansonia),https://www.wakeleememorial.com/obituaries/obituary-listings,"No Funeral Home in Town; one confirmed Bethany match found 2026-09-08 (Elizabeth Kremmel); renders via browser but needs a longer wait, see skills/death-notices.md"
Woodbridge,Beecher & Bennett Funeral Service (Hamden),https://www.beecherandbennett.com/obituaries,No Funeral Home in Town
Woodbridge,Maresca & Sons Funeral Home (New Haven),https://www.marescafuneralhome.com/listings,"No Funeral Home in Town; in-site Word search genuinely filters by town and found real Woodbridge matches, but most recent was July 2025 as of 2026-09-08, see skills/death-notices.md"
Woodbridge,"Iovanne Funeral Home, Inc. (New Haven)",https://www.iovanne.com/obituaries/obituary-listings,"No Funeral Home in Town; small single-branch home, no Woodbridge matches found as of 2026-09-08, see skills/death-notices.md"
Durham,Biega Funeral Home (Middletown),https://www.biegafuneralhome.com/obituaries/,"No Funeral Home in Town; in-site search returns \"No obituaries found\" for Durham despite real matches existing, see skills/death-notices.md"
Durham,Doolittle Funeral Service (Middletown),https://www.doolittlefuneralservice.com/listings,No Funeral Home in Town
Durham,North Haven Funeral Home,https://www.northhavenfuneral.com/obituaries,"No Funeral Home in Town; one confirmed Durham match found 2026-09-08 (exact listing-page path unconfirmed -- only an individual obituary permalink was verified), see skills/death-notices.md"
Durham,Wallingford & Yalesville Funeral Homes,https://www.wallingfordfh.com/obituaries/obituary-listings,"No Funeral Home in Town; self-describes as serving Durham-Middlefield and has historical Durham obituaries on file, but no current matches found as of 2026-09-08, see skills/death-notices.md"
Middlefield,Biega Funeral Home (Middletown),https://www.biegafuneralhome.com/obituaries/,"No Funeral Home in Town; in-site search returns no results for Middlefield despite real matches existing, see skills/death-notices.md"
Middlefield,Rose Hill Funeral Home (Rocky Hill),https://www.rosehillfuneralhomect.com/obituaries/obituary-listings,"No Funeral Home in Town; 403s to curl/WebFetch, not yet retried via browser, see skills/death-notices.md"
Middlefield,Doolittle Funeral Service (Middletown),https://www.doolittlefuneralservice.com/listings,No Funeral Home in Town
Middlefield,John J. Ferry & Sons Funeral Home (Meriden),https://www.jferryfh.com/obituaries/obituary-listings,No Funeral Home in Town
Middletown,Biega Funeral Home,https://www.biegafuneralhome.com/obituaries/,
Middletown,Doolittle Funeral Service,https://www.doolittlefuneralservice.com/listings,
East Hampton,Spencer Funeral Home,https://www.spencerfuneralhomeinc.com/listings,"In-site Word search for the town name actually filters correctly here (rare among sources in this file); confirmed 2026-09-08, see skills/death-notices.md"
